event_id,user_id,event_type,timestamp,country,age
e00000,u001,click,2024-02-05 23:00:00,Canada,29
e00001,u018,login,2024-01-09 00:00:00,USA,27
e00002,u020,login,2024-07-02 20:00:00,Canada,33
e00003,u015,logout,2024-08-10 00:00:00,USA,29
e00004,u014,view,2024-02-25 10:00:00,Canada,31
e00005,u012,view,2024-07-25 01:00:00,USA,28
e00006,u013,login,2024-07-31 20:00:00,India,45
e00007,u019,click,2024-01-12 21:00:00,Australia,39
e00008,u003,click,2024-04-07 08:00:00,Canada,41
e00009,u006,view,2024-06-20 08:00:00,Germany,38
e00010,u003,logout,2024-05-16 23:00:00,Canada,41
e00011,u009,logout,2024-02-26 21:00:00,USA,30
e00012,u002,click,2024-07-25 10:00:00,USA,34
e00013,u019,view,2024-05-07 12:00:00,Australia,39
e00015,u014,logout,2024-02-26 04:00:00,Canada,31
e00016,u002,login,2024-02-10 21:00:00,USA,34
e00017,u013,logout,2024-05-15 08:00:00,India,45
e00018,u001,logout,2024-06-23 17:00:00,Canada,29
e00019,u011,login,2024-02-10 14:00:00,Canada,33
e00020,u025,login,2024-01-28 20:00:00,France,44
e00021,u020,click,2024-07-14 05:00:00,Canada,33
e00022,u017,login,2024-05-05 00:00:00,Canada,42
e00025,u018,login,2024-08-11 19:00:00,USA,27
e00026,u018,click,2024-04-12 21:00:00,USA,27
e00027,u017,purchase,2024-02-27 02:00:00,Canada,42
e00028,u008,logout,2024-01-19 22:00:00,France,52
e00029,u002,view,2024-03-01 08:00:00,USA,34
e00032,u022,logout,2024-01-26 01:00:00,Germany,48
e00034,u015,click,2024-01-20 14:00:00,USA,29
e00036,u008,login,2024-05-03 06:00:00,France,52
e00038,u015,click,2024-07-06 17:00:00,USA,29
e00039,u007,click,2024-01-15 18:00:00,Canada,25
e00040,u011,login,2024-05-02 16:00:00,Canada,33
e00041,u002,purchase,2024-02-17 02:00:00,USA,34
e00042,u008,view,2024-08-15 18:00:00,France,52
e00043,u020,login,2024-05-29 18:00:00,Canada,33
e00044,u007,logout,2024-03-02 08:00:00,Canada,25
e00046,u007,purchase,2024-08-26 11:00:00,Canada,25
e00047,u012,click,2024-08-01 17:00:00,USA,28
e00051,u017,purchase,2024-08-20 01:00:00,Canada,42
e00053,u006,purchase,2024-04-19 17:00:00,Germany,38
e00054,u023,login,2024-08-01 11:00:00,USA,35
e00056,u008,logout,2024-07-18 17:00:00,France,52
e00057,u020,login,2024-03-01 05:00:00,Canada,33
e00058,u014,login,2024-08-24 10:00:00,Canada,31
e00059,u022,click,2024-07-20 22:00:00,Germany,48
e00062,u003,click,2024-05-10 12:00:00,Canada,41
e00063,u011,login,2024-03-07 05:00:00,Canada,33
e00064,u002,login,2024-03-29 23:00:00,USA,34
e00065,u017,login,2024-05-27 06:00:00,Canada,42
e00066,u001,purchase,2024-05-17 21:00:00,Canada,29
e00067,u022,click,2024-01-18 21:00:00,Germany,48
e00068,u022,login,2024-03-17 16:00:00,Germany,48
e00069,u013,click,2024-02-19 13:00:00,India,45
e00070,u024,login,2024-03-18 12:00:00,Canada,29
e00072,u015,purchase,2024-05-10 15:00:00,USA,29
